id,category,expected_decision,needs_manual_review,review_reasons,query,expected_entities,selected_observations_total,selection_rules,numeric_facts_count,temporal_facts_count,topology_count,missing_facts_count,missing_facts,wkt_count,wkt_verified_count
12,explicit,ANSWER,True,requested_fact_missing_or_not_directly_stored | sensor_error_requires_manual_review,Есть ли ошибки в работе сенсора на реке Prokhodnaya River?,Prokhodnaya River,1,structural_fallback,0,0,0,1,sensor_error_or_failure_status,1,1
13,explicit,ANSWER,False,,Покажи последние показания уровня воды для Kumbel River.,Kumbel River,1,requested_predicate_match,1,3,0,0,,1,1
14,explicit,ANSWER,True,requested_fact_missing_or_not_directly_stored | sensor_status_requires_manual_review,Проверь работоспособность системы мониторинга на реке Batareyka River.,Batareyka River,1,structural_fallback,0,0,0,1,sensor_operational_status,1,1
15,explicit,ANSWER,False,,Какой уровень воды сейчас в Ulken Almaty River?,Ulken Almaty River,1,requested_predicate_match,1,3,0,0,,1,1
16,explicit,ANSWER,True,requested_fact_missing_or_not_directly_stored | season_or_period_filter_requires_review | threshold_or_risk_requires_definition,Каков текущий риск паводка на реке Ulken Almaty River?,Ulken Almaty River,1,temporal_evidence_match,0,3,0,2,threshold_or_risk_conclusion | season_or_period_filtered_evidence,1,1
17,explicit,ANSWER,True,requested_fact_missing_or_not_directly_stored | season_or_period_filter_requires_review,Покажите данные по весеннему расходу воды для реки Tekes River.,Tekes River,3,requested_predicate_match,6,9,0,1,season_or_period_filtered_evidence,1,1
18,explicit,ANSWER,True,alert_or_operational_event_requires_review | derived_numeric_answer_requires_definition | requested_fact_missing_or_not_directly_stored | season_or_period_filter_requires_review,Есть ли предупреждения о сезонных паводках для реки Bayankol River?,Bayankol River,3,temporal_evidence_match,0,9,0,3,derived_numeric_conclusion | alert_or_operational_event | season_or_period_filtered_evidence,1,1
19,explicit,ANSWER,True,derived_numeric_answer_requires_definition | requested_fact_missing_or_not_directly_stored | season_or_period_filter_requires_review,"Получите максимальный уровень воды, достигнутый во время последнего весеннего паводка на реке Osek River.",Osek River,1,requested_predicate_match,1,3,0,2,derived_numeric_conclusion | season_or_period_filtered_evidence,1,1
20,explicit,ANSWER,True,requested_fact_missing_or_not_directly_stored | season_or_period_filter_requires_review,Предоставьте данные об изменениях расхода воды в реке Batareyka River в период паводка.,Batareyka River,3,requested_predicate_match,3,9,0,1,season_or_period_filtered_evidence,1,1
21,explicit,ANSWER,True,derived_numeric_answer_requires_definition | forecast_requires_manual_review | requested_fact_missing_or_not_directly_stored,Проверьте прогнозы сезонного расхода воды для реки Shyzhyn River.,Shyzhyn River,3,requested_predicate_match,3,9,0,2,derived_numeric_conclusion | forecast_or_probability,1,1
22,explicit,ANSWER,True,derived_numeric_answer_requires_definition | requested_fact_missing_or_not_directly_stored | season_or_period_filter_requires_review,Каким был пиковый уровень воды в реке Uzyn Kargaly River во время весеннего паводка?,Uzyn Kargaly River,3,requested_predicate_match,3,9,0,2,derived_numeric_conclusion | season_or_period_filtered_evidence,1,1
23,explicit,ANSWER,True,requested_fact_missing_or_not_directly_stored | threshold_or_risk_requires_definition,Предоставьте оценку риска наводнения для реки Prokhodnaya River.,Prokhodnaya River,1,structural_fallback,0,0,0,1,threshold_or_risk_conclusion,1,1
24,explicit,ANSWER,True,requested_fact_missing_or_not_directly_stored | season_or_period_filter_requires_review,Покажите исторические данные весенних паводков для реки Ulken Almaty River.,Ulken Almaty River,3,temporal_evidence_match,0,9,0,1,season_or_period_filtered_evidence,1,1
25,explicit,ANSWER,True,derived_numeric_answer_requires_definition | requested_fact_missing_or_not_directly_stored | season_or_period_filter_requires_review,Сравните уровни расхода воды рек Tekes River и Bayankol River в период паводка.,Tekes River | Bayankol River,6,requested_predicate_match | requested_predicate_match,18,18,0,2,derived_numeric_conclusion | season_or_period_filtered_evidence,2,2
26,explicit,ANSWER,True,requested_fact_missing_or_not_directly_stored | season_or_period_filter_requires_review,Какой текущий уровень воды на реке Osek River в период паводка?,Osek River,1,requested_predicate_match,1,3,0,1,season_or_period_filtered_evidence,1,1
27,explicit,ANSWER,True,requested_fact_missing_or_not_directly_stored | season_or_period_filter_requires_review,Получите значения расхода воды в реке Batareyka River во время весеннего таяния.,Batareyka River,3,requested_predicate_match,3,9,0,1,season_or_period_filtered_evidence,1,1
28,explicit,ANSWER,True,alert_or_operational_event_requires_review | requested_fact_missing_or_not_directly_stored,Есть ли оповещения о высоком уровне воды для реки Shyzhyn River?,Shyzhyn River,3,requested_predicate_match,3,0,0,1,alert_or_operational_event,1,1
29,explicit,ANSWER,True,requested_fact_missing_or_not_directly_stored | season_or_period_filter_requires_review,Перечислите значения расхода воды во время весеннего паводка для реки Uzyn Kargaly River.,Uzyn Kargaly River,3,requested_predicate_match,3,9,0,1,season_or_period_filtered_evidence,1,1
30,explicit,ANSWER,True,requested_fact_missing_or_not_directly_stored | threshold_or_risk_requires_definition,Рассчитайте индекс риска наводнения для реки Prokhodnaya River на основе текущего расхода.,Prokhodnaya River,1,requested_predicate_match,1,3,0,1,threshold_or_risk_conclusion,1,1
31,explicit,ANSWER,False,,Каков текущий уровень потребления воды для реки Или?,Ile River,1,requested_predicate_match,1,3,0,0,,0,0
32,explicit,ANSWER,True,ecological_or_management_inference_requires_review | requested_fact_missing_or_not_directly_stored,Предоставьте данные об экологическом состоянии реки Талгар.,Talgar River,1,structural_fallback,0,0,0,1,ecological_or_management_conclusion,1,1
33,explicit,ANSWER,False,,Какой объем воды забирается на нужды сельского хозяйства в реке Аксу?,Aksu River,3,requested_predicate_match,3,0,0,0,,1,1
34,explicit,ANSWER,True,unmapped_query_intent_requires_review,Покажите показатели загрязнения воды в реке Лепси.,Lepsy River,1,structural_fallback,0,0,0,1,unmapped_query_intent,1,1
35,explicit,ANSWER,True,unmapped_query_intent_requires_review,Каков уровень дефицита воды для ирригации в реке Аягоз?,Ayagoz River,1,structural_fallback,0,0,0,1,unmapped_query_intent,1,1
36,explicit,ANSWER,True,ecological_or_management_inference_requires_review | requested_fact_missing_or_not_directly_stored,Какие изменения в экосистеме реки Шынжалы связаны с потреблением воды?,Shynzhaly River,3,requested_predicate_match,3,0,0,1,ecological_or_management_conclusion,1,1
37,explicit,ANSWER,False,,Предоставьте статистику использования воды для нужд агропромышленного комплекса в реке Кумбель.,Kumbel River,3,requested_predicate_match,3,0,0,0,,1,1
38,explicit,ANSWER,True,requested_fact_missing_or_not_directly_stored | threshold_or_risk_requires_definition,Каков уровень экологического риска для реки Каркара?,Karkara River,3,requested_predicate_match,3,0,0,1,threshold_or_risk_conclusion,1,1
39,explicit,ANSWER,True,per_entity_evidence_incomplete | requested_fact_missing_or_not_directly_stored | sufficiency_or_management_requires_review,"Укажите объемы воды, используемые для полива в бассейне реки Или.",Ile River,1,structural_fallback,0,0,0,2,volume | management_sufficiency_conclusion,0,0
40,explicit,ANSWER,True,unmapped_query_intent_requires_review,Каков уровень загрязнения сточными водами в реке Талгар?,Talgar River,1,structural_fallback,0,0,0,1,unmapped_query_intent,1,1
41,explicit,ANSWER,False,,Какие данные по потреблению воды на фермерские хозяйства есть по реке Аксу?,Aksu River,3,requested_predicate_match,3,0,0,0,,1,1
42,explicit,ANSWER,True,causal_claim_requires_definition | per_entity_evidence_incomplete | requested_fact_missing_or_not_directly_stored,Покажите уровень влияния агрокультуры на качество воды в реке Лепси.,Lepsy River,3,requested_predicate_match,3,0,0,2,water_quality | causal_or_impact_conclusion,1,1
43,explicit,ANSWER,True,per_entity_evidence_incomplete | requested_fact_missing_or_not_directly_stored,"Каков объем воды, выделяемый на орошение в реке Аягоз?",Ayagoz River,1,structural_fallback,0,0,0,1,volume,1,1
44,explicit,ANSWER,True,unmapped_query_intent_requires_review,Какие экологические показатели зафиксированы в реке Шынжалы?,Shynzhaly River,1,structural_fallback,0,0,0,1,unmapped_query_intent,1,1
45,explicit,ANSWER,False,,Предоставьте данные о потреблении воды предприятиями в реке Кумбель.,Kumbel River,3,requested_predicate_match,3,0,0,0,,1,1
46,explicit,ANSWER,True,derived_numeric_answer_requires_definition | requested_fact_missing_or_not_directly_stored,Сравните уровни воды в реке Sarykan River за 22022 и 2023 годы.,Sarykan River,3,requested_predicate_match,3,0,0,1,derived_numeric_conclusion,1,1
47,explicit,ANSWER,True,forecast_requires_manual_review | requested_fact_missing_or_not_directly_stored,Предскажите расход воды в реке Shilik River на следующий месяц на основе исторических данных.,Shilik River,3,requested_predicate_match,6,9,0,1,forecast_or_probability,1,1
48,explicit,ANSWER,True,explicit_time_window_requires_review | requested_fact_missing_or_not_directly_stored,Получите исторические данные о расходе воды в реке Karkara River за период с 2010 по 2020 годы.,Karkara River,3,requested_predicate_match,6,9,0,1,explicit_time_window_evidence,1,1
49,explicit,ANSWER,True,derived_numeric_answer_requires_definition | requested_fact_missing_or_not_directly_stored,Сравните пиковые уровни воды в реке Batareyka River в 2015 и 2023 годах.,Batareyka River,3,requested_predicate_match,3,0,0,1,derived_numeric_conclusion,1,1
50,explicit,ANSWER,True,forecast_requires_manual_review | per_entity_evidence_incomplete | requested_fact_missing_or_not_directly_stored | season_or_period_filter_requires_review,"Создайте модель прогнозирования уровня паводка для реки Dos River, используя данные за последние 5 лет.",Dos River,1,temporal_evidence_match,0,2,0,3,water_level | season_or_period_filtered_evidence | forecast_or_probability,1,1
51,explicit,ANSWER,True,derived_numeric_answer_requires_definition | requested_fact_missing_or_not_directly_stored | season_or_period_filter_requires_review,Сравните средний расход воды в реке Kurty River в летний и зимний периоды прошлых лет.,Kurty River,3,requested_predicate_match,3,9,0,2,derived_numeric_conclusion | season_or_period_filtered_evidence,1,1
52,explicit,ANSWER,True,forecast_requires_manual_review | requested_fact_missing_or_not_directly_stored,Разработайте модель прогнозирования стока для реки Sarykan River на следующий сезон.,Sarykan River,3,requested_predicate_match,3,0,0,1,forecast_or_probability,1,1
53,explicit,ANSWER,True,derived_numeric_answer_requires_definition | requested_fact_missing_or_not_directly_stored,Сравните исторические показатели температуры воды в реке Shilik River за 202 21 и 2022 годы.,Shilik River,3,temporal_evidence_match,0,9,0,1,derived_numeric_conclusion,1,1
54,explicit,ANSWER,True,derived_numeric_answer_requires_definition | requested_fact_missing_or_not_directly_stored,Рассчитайте разницу в расходе воды в реке Karkara River между последним и предыдущим десятилетиями.,Karkara River,1,requested_predicate_match,2,3,0,1,derived_numeric_conclusion,1,1
55,explicit,ANSWER,True,derived_numeric_answer_requires_definition | requested_fact_missing_or_not_directly_stored,Предскажите уровень воды в реке Batareyka River на предстоящий год на основе исторических трендов.,Batareyka River,3,requested_predicate_match,3,9,0,1,derived_numeric_conclusion,1,1
56,explicit,ANSWER,True,derived_numeric_answer_requires_definition | requested_fact_missing_or_not_directly_stored,Сравните историческую нагрузку наносов в реке Dos River за последние 5 лет.,Dos River,1,temporal_evidence_match,0,2,0,1,derived_numeric_conclusion,1,1
57,explicit,ANSWER,True,derived_numeric_answer_requires_definition | forecast_requires_manual_review | requested_fact_missing_or_not_directly_stored,Постройте модель прогнозирования уровня воды в реке Kurty River на основе исторических трендов.,Kurty River,3,requested_predicate_match,3,9,0,2,derived_numeric_conclusion | forecast_or_probability,1,1
58,explicit,ANSWER,True,derived_numeric_answer_requires_definition | requested_fact_missing_or_not_directly_stored,Сравните ежемесячные показатели расхода воды в реке Sarykan River за 2020 и 2023 годы.,Sarykan River,3,requested_predicate_match,3,0,0,1,derived_numeric_conclusion,1,1
59,explicit,ANSWER,True,derived_numeric_answer_requires_definition | requested_fact_missing_or_not_directly_stored,Предскажите максимальный расход воды в реке Shilik River на следующее десятилетие.,Shilik River,3,requested_predicate_match,6,0,0,1,derived_numeric_conclusion,1,1
60,explicit,ANSWER,True,causal_claim_requires_definition | derived_numeric_answer_requires_definition | explicit_time_window_requires_review | requested_fact_missing_or_not_directly_stored | season_or_period_filter_requires_review,Сравните влияние исторических осадков на уровень воды в реке Karkara River в период с 2018 по 2023 годы.,Karkara River,3,requested_predicate_match,3,9,0,4,derived_numeric_conclusion | causal_or_impact_conclusion | season_or_period_filtered_evidence | explicit_time_window_evidence,1,1
61,semi-explicit,ANSWER,True,requested_fact_missing_or_not_directly_stored | sensor_status_requires_manual_review,Проверь статус всех датчиков уровня воды на реке Aksu River.,Aksu River,3,requested_predicate_match,3,0,0,1,sensor_operational_status,1,1
62,semi-explicit,ANSWER,True,alert_or_operational_event_requires_review | requested_fact_missing_or_not_directly_stored,Какие посты мониторинга на реке Sharyn River сейчас не передают данные?,Sharyn River,1,temporal_evidence_match,0,3,0,1,alert_or_operational_event,1,1
63,semi-explicit,ANSWER,True,complete_enumeration_requires_review | requested_fact_missing_or_not_directly_stored,Выведи текущие уровни воды для всех гидропостов на реке Byzhy River.,Byzhy River,1,requested_predicate_match,1,3,0,1,complete_station_enumeration,1,1
64,semi-explicit,ANSWER,True,requested_fact_missing_or_not_directly_stored | sensor_error_requires_manual_review,Есть ли ошибки в работе сенсоров на реке Tentek River?,Tentek River,1,structural_fallback,0,0,0,1,sensor_error_or_failure_status,1,1
65,semi-explicit,ANSWER,True,requested_fact_missing_or_not_directly_stored | sensor_error_requires_manual_review,"Проверь уровень воды на реках Aksu River и Byzhy River и сообщи, если датчики неисправны.",Aksu River | Byzhy River,6,requested_predicate_match | requested_predicate_match,6,0,0,1,sensor_error_or_failure_status,2,2
66,semi-explicit,ANSWER,True,requested_fact_missing_or_not_directly_stored | sensor_status_requires_manual_review,Проверь работоспособность оборудования на реке Temirlik River.,Temirlik River,1,structural_fallback,0,0,0,1,sensor_operational_status,0,0
67,semi-explicit,ANSWER,True,complete_enumeration_requires_review | requested_fact_missing_or_not_directly_stored,Покажи последние зафиксированные уровни воды для всех постов на реке Prokhodnaya River.,Prokhodnaya River,1,requested_predicate_match,1,3,0,1,complete_station_enumeration,1,1
68,semi-explicit,ANSWER,True,requested_fact_missing_or_not_directly_stored | sensor_error_requires_manual_review,Просканируй датчики на реке Osek River и сообщи о любых неисправностях.,Osek River,1,structural_fallback,0,0,0,1,sensor_error_or_failure_status,1,1
69,semi-explicit,ANSWER,True,derived_numeric_answer_requires_definition | requested_fact_missing_or_not_directly_stored | sensor_status_requires_manual_review,Сравни текущий статус датчиков на реке Koktal River и реке Aksu River.,Koktal River | Aksu River,2,temporal_evidence_match | temporal_evidence_match,0,6,0,2,sensor_operational_status | derived_numeric_conclusion,2,2
70,semi-explicit,ANSWER,True,requested_fact_missing_or_not_directly_stored | threshold_or_risk_requires_definition,Какие гидрологические посты на реке Sharyn River показывают критический уровень?,Sharyn River,3,requested_predicate_match,3,0,0,1,threshold_or_risk_conclusion,1,1
71,semi-explicit,ANSWER,True,requested_fact_missing_or_not_directly_stored | sensor_status_requires_manual_review,"Проверь, все ли сенсоры на реке Byzhy River находятся в активном режиме.",Byzhy River,1,structural_fallback,0,0,0,1,sensor_operational_status,1,1
72,semi-explicit,ANSWER,True,requested_fact_missing_or_not_directly_stored | sensor_status_requires_manual_review,Найди информацию о состоянии датчиков уровня для рек Tentek River и Temirlik River.,Tentek River | Temirlik River,6,requested_predicate_match | requested_predicate_match,6,0,0,1,sensor_operational_status,1,1
73,semi-explicit,ANSWER,True,requested_fact_missing_or_not_directly_stored | sensor_status_requires_manual_review,Проверь состояние датчиков уровня воды на реках Osek River и Koktal River.,Osek River | Koktal River,6,requested_predicate_match | requested_predicate_match,6,0,0,1,sensor_operational_status,2,2
74,semi-explicit,ANSWER,True,anomaly_requires_manual_review | requested_fact_missing_or_not_directly_stored,Проверь наличие аномалий в показаниях сенсоров на реке Prokhodnaya River.,Prokhodnaya River,1,structural_fallback,0,0,0,1,anomaly_conclusion,1,1
75,semi-explicit,ANSWER,True,derived_numeric_answer_requires_definition | requested_fact_missing_or_not_directly_stored | sensor_stability_or_connectivity_requires_review,Сравни статус передачи данных между реками Tentek River и Sharyn River.,Tentek River | Sharyn River,2,structural_fallback | structural_fallback,0,0,0,2,sensor_stability_or_connectivity | derived_numeric_conclusion,2,2
76,semi-explicit,ANSWER,True,complete_enumeration_requires_review | requested_fact_missing_or_not_directly_stored | season_or_period_filter_requires_review | threshold_or_risk_requires_definition,Найди все гидропосты на реке Karaoy River и оцени риск паводка по их текущему расходу воды.,Karaoy River,1,requested_predicate_match,1,3,0,3,threshold_or_risk_conclusion | complete_station_enumeration | season_or_period_filtered_evidence,1,1
77,semi-explicit,ANSWER,True,derived_numeric_answer_requires_definition | forecast_requires_manual_review | requested_fact_missing_or_not_directly_stored | season_or_period_filter_requires_review,Сравни уровни сезонного расхода на реках Baskan River и Prokhodnaya River для прогнозирования весеннего половодья.,Baskan River | Prokhodnaya River,6,requested_predicate_match | requested_predicate_match,12,18,0,3,derived_numeric_conclusion | season_or_period_filtered_evidence | forecast_or_probability,2,2
78,semi-explicit,ANSWER,True,complete_enumeration_requires_review | forecast_requires_manual_review | requested_fact_missing_or_not_directly_stored,"Выведи данные о расходе воды для всех постов на реке Temirlik River, чтобы определить вероятность наводнения.",Temirlik River,3,requested_predicate_match,6,0,0,2,complete_station_enumeration | forecast_or_probability,0,0
79,semi-explicit,ANSWER,True,derived_numeric_answer_requires_definition | requested_fact_missing_or_not_directly_stored | season_or_period_filter_requires_review,"Проверь, есть ли признаки паводка на реке Turgen River, изучив изменения сезонного расхода воды.",Turgen River,3,requested_predicate_match,6,9,0,2,derived_numeric_conclusion | season_or_period_filtered_evidence,1,1
80,semi-explicit,ANSWER,True,derived_numeric_answer_requires_definition | requested_fact_missing_or_not_directly_stored | threshold_or_risk_requires_definition,Найди показатели расхода на реке Tokyraun River и сравни их с уровнем на реке Koktal River для оценки риска затопления.,Tokyraun River | Koktal River,6,requested_predicate_match | requested_predicate_match,12,0,0,2,derived_numeric_conclusion | threshold_or_risk_conclusion,2,2
81,semi-explicit,ANSWER,True,causal_claim_requires_definition | requested_fact_missing_or_not_directly_stored | season_or_period_filter_requires_review,"Определи, на каких реках из списка (Baskan River, Prokhodnaya River) уровень воды превышает норму из-за весеннего таяния снегов.",Baskan River | Prokhodnaya River,6,requested_predicate_match | requested_predicate_match,6,18,0,2,causal_or_impact_conclusion | season_or_period_filtered_evidence,2,2
82,semi-explicit,ANSWER,True,complete_enumeration_requires_review | requested_fact_missing_or_not_directly_stored | season_or_period_filter_requires_review | threshold_or_risk_requires_definition,"Найди все посты на реке Karaoy River и проверь, превышает ли их расход критическую отметку паводка.",Karaoy River,3,requested_predicate_match,3,9,0,3,threshold_or_risk_conclusion | complete_station_enumeration | season_or_period_filtered_evidence,1,1
83,semi-explicit,ANSWER,True,aggregate_or_comparison_requires_review | derived_numeric_answer_requires_definition | requested_fact_missing_or_not_directly_stored | season_or_period_filter_requires_review,Сравни сезонные динамики расхода воды на реках Temirlik River и Turgen River для оценки угрозы весенних наводнений.,Temirlik River | Turgen River,6,requested_predicate_match | requested_predicate_match,12,18,0,3,derived_numeric_conclusion | aggregate_or_comparative_conclusion | season_or_period_filtered_evidence,1,1
84,semi-explicit,ANSWER,True,complete_enumeration_requires_review | derived_numeric_answer_requires_definition | requested_fact_missing_or_not_directly_stored | season_or_period_filter_requires_review,Проверь все гидропосты на реке Tokyraun River на предмет резкого роста расхода воды в период весеннего половодья.,Tokyraun River,3,requested_predicate_match,3,9,0,3,derived_numeric_conclusion | complete_station_enumeration | season_or_period_filtered_evidence,1,1
85,semi-explicit,ANSWER,True,derived_numeric_answer_requires_definition | requested_fact_missing_or_not_directly_stored | threshold_or_risk_requires_definition,"Найди данные по расходу на реках Koktal River и Baskan River, чтобы выявить риск сезонного затопления территорий.",Koktal River | Baskan River,6,requested_predicate_match | requested_predicate_match,6,18,0,2,derived_numeric_conclusion | threshold_or_risk_conclusion,2,2
86,semi-explicit,ANSWER,True,causal_claim_requires_definition | derived_numeric_answer_requires_definition | requested_fact_missing_or_not_directly_stored | season_or_period_filter_requires_review | threshold_or_risk_requires_definition,"Определи, на каких реках (Karaoy River, Temirlik River, Turgen River) наблюдается опасный рост уровня воды из-за паводка.",Karaoy River | Temirlik River | Turgen River,9,requested_predicate_match | requested_predicate_match | requested_predicate_match,9,27,0,4,derived_numeric_conclusion | threshold_or_risk_conclusion | causal_or_impact_conclusion | season_or_period_filtered_evidence,2,2
87,semi-explicit,ANSWER,True,derived_numeric_answer_requires_definition | requested_fact_missing_or_not_directly_stored | season_or_period_filter_requires_review,Сравни текущий расход на реке Prokhodnaya River с историческими данными весеннего паводка для этой реки.,Prokhodnaya River,1,requested_predicate_match,1,3,0,2,derived_numeric_conclusion | season_or_period_filtered_evidence,1,1
88,semi-explicit,ANSWER,True,complete_enumeration_requires_review | requested_fact_missing_or_not_directly_stored | season_or_period_filter_requires_review,Выведи список всех постов на реке Koktal River и их текущий уровень воды для мониторинга паводковой ситуации.,Koktal River,1,requested_predicate_match,1,3,0,2,complete_station_enumeration | season_or_period_filtered_evidence,1,1
89,semi-explicit,ANSWER,True,aggregate_or_comparison_requires_review | requested_fact_missing_or_not_directly_stored | season_or_period_filter_requires_review,"Проверь, насколько текущий расход на реке Baskan River отличается от уровня на реке Prokhodnaya River в период пика половодья.",Baskan River | Prokhodnaya River,2,requested_predicate_match | requested_predicate_match,4,6,0,2,aggregate_or_comparative_conclusion | season_or_period_filtered_evidence,2,2
90,semi-explicit,ANSWER,True,requested_fact_missing_or_not_directly_stored | threshold_or_risk_requires_definition,"Найди все реки из списка (Karaoy River, Baskan River, Temirlik River) и проверь их текущий риск затопления.",Karaoy River | Baskan River | Temirlik River,3,temporal_evidence_match | temporal_evidence_match | temporal_evidence_match,0,9,0,1,threshold_or_risk_conclusion,2,2
91,semi-explicit,ANSWER,True,requested_fact_missing_or_not_directly_stored | river_topology_requires_manual_review,Найди все притоки реки Уржар и укажи их координаты.,Urzhar River,1,structural_fallback,0,0,2,1,river_flow_topology,1,1
92,semi-explicit,ANSWER,True,derived_spatial_metric_requires_review | requested_fact_missing_or_not_directly_stored,Вычисли расстояние между устьем реки Дос и началом реки Емель.,Dos River | Emel River,2,structural_fallback | structural_fallback,0,0,0,1,derived_spatial_metric,2,2
93,semi-explicit,ANSWER,True,requested_fact_missing_or_not_directly_stored | river_topology_requires_manual_review,"Перечисли все реки, которые являются притоками реки Каратал, и найди их общую протяженность.",Karatal River,1,structural_fallback,0,0,2,1,river_flow_topology,1,1
94,semi-explicit,ANSWER,True,derived_numeric_answer_requires_definition | requested_fact_missing_or_not_directly_stored,Найди координаты самого верхнего течения реки Тентек и сравни их с координатами реки Быж.,Tentek River | Byzhy River,2,structural_fallback | structural_fallback,0,0,0,1,derived_numeric_conclusion,2,2
95,semi-explicit,ANSWER,True,requested_fact_missing_or_not_directly_stored | river_topology_requires_manual_review,"Проверь, связаны ли река Улькен Алматы и река Шыжын через систему притоков.",Ulken Almaty River | Shyzhyn River,2,structural_fallback | structural_fallback,0,0,4,1,river_flow_topology,2,2
96,semi-explicit,ANSWER,True,derived_spatial_metric_requires_review | requested_fact_missing_or_not_directly_stored,Найди реки Уржар и Дос и определи расстояние между их гидрографическими точками.,Urzhar River | Dos River,2,structural_fallback | structural_fallback,0,0,0,1,derived_spatial_metric,2,2
97,semi-explicit,ANSWER,True,per_entity_evidence_incomplete | requested_fact_missing_or_not_directly_stored | river_topology_requires_manual_review,Является ли река Емель притоком реки Каратал и какая длина этого участка?,Emel River | Karatal River,4,structural_fallback | requested_predicate_match,3,0,4,2,length | river_flow_topology,2,2
98,semi-explicit,ANSWER,True,requested_fact_missing_or_not_directly_stored | river_topology_requires_manual_review,"Найди реки Тентек и Быж и определи, в какой бассейн они впадают.",Tentek River | Byzhy River,2,structural_fallback | structural_fallback,0,0,4,1,river_flow_topology,2,2
99,semi-explicit,ANSWER,True,derived_numeric_answer_requires_definition | requested_fact_missing_or_not_directly_stored,Сравни географические координаты истока реки Улькен Алматы и реки Уржар.,Ulken Almaty River | Urzhar River,2,structural_fallback | structural_fallback,0,0,0,1,derived_numeric_conclusion,2,2
100,semi-explicit,ANSWER,True,per_entity_evidence_incomplete | requested_fact_missing_or_not_directly_stored,"Рассчитай общую длину речного пути от реки Шыжын до реки Дос, учитывая все промежуточные звенья.",Shyzhyn River | Dos River,2,structural_fallback | structural_fallback,0,0,0,2,length | length,2,2
101,semi-explicit,ANSWER,True,requested_fact_missing_or_not_directly_stored | river_topology_requires_manual_review,"Определи, какие из перечисленных рек (Тентек, Быж) являются притоками реки Емель.",Tentek River | Byzhy River | Emel River,3,structural_fallback | structural_fallback | structural_fallback,0,0,6,1,river_flow_topology,3,3
102,semi-explicit,ANSWER,True,derived_spatial_metric_requires_review | requested_fact_missing_or_not_directly_stored,Найди расстояние между точками впадения реки Каратал и реки Улькен Алматы.,Karatal River | Ulken Almaty River,2,structural_fallback | structural_fallback,0,0,0,1,derived_spatial_metric,2,2
103,semi-explicit,ANSWER,False,,"Выведи список координат для всех рек: Уржар, Дос и Каратал.",Urzhar River | Dos River | Karatal River,3,structural_fallback | structural_fallback | structural_fallback,0,0,0,0,,3,3
104,semi-explicit,ANSWER,True,derived_spatial_metric_requires_review | requested_fact_missing_or_not_directly_stored | river_topology_requires_manual_review,"Проверь, является ли река Шыжын притоком реки Дос, и найди расстояние до их слияния.",Shyzhyn River | Dos River,2,structural_fallback | structural_fallback,0,0,4,2,derived_spatial_metric | river_flow_topology,2,2
